positive_score,negative_score,Polarity_Score,subjectivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length,percentage_of_personal_pronouns,Percentage_of_complex_words_three_syllables
2,0,0.99999950000025,0.13333332444444504,14,0.2,5.68,15,15,15,23,0,3.933333333333333,0.0,0.06666666666666667
0,0,0.0,0.0,19,0.15,7.66,20,20,20,28,0,4.5,0.0,0.1
0,0,0.0,0.0,17,0.2222222222222222,6.888888888888889,18,18,18,27,0,4.166666666666667,0.0,0.05555555555555555
1,0,0.9999990000010001,0.05882352595155729,16,0.23529411764705882,6.4941176470588236,17,17,17,29,0,4.9411764705882355,0.0,0.17647058823529413
3,0,0.9999996666667778,0.14285713605442207,20,0.23809523809523808,8.095238095238095,21,21,21,30,0,4.095238095238095,0.0,0.09523809523809523
0,0,0.0,0.0,14,0.4,5.760000000000001,15,15,15,28,0,5.333333333333333,0.0,0.3333333333333333
0,0,0.0,0.0,10,0.36363636363636365,4.1454545454545455,11,11,11,17,0,4.181818181818182,0.0,0.18181818181818182
1,0,0.9999990000010001,0.05882352595155729,16,0.23529411764705882,6.4941176470588236,17,17,17,29,0,4.9411764705882355,0.0,0.17647058823529413
3,0,0.9999996666667778,0.14285713605442207,20,0.23809523809523808,8.095238095238095,21,21,21,30,0,4.190476190476191,0.0,0.09523809523809523
0,0,0.0,0.0,10,0.2727272727272727,4.109090909090909,11,11,11,18,0,4.090909090909091,0.0,0.18181818181818182
2,0,0.99999950000025,0.285714244897965,6,0.0,2.4000000000000004,7,7,7,7,0,2.7142857142857144,0.0,0.0
1,0,0.9999990000010001,0.05882352595155729,16,0.23529411764705882,6.4941176470588236,17,17,17,29,0,4.9411764705882355,0.0,0.17647058823529413
3,0,0.9999996666667778,0.14285713605442207,20,0.23809523809523808,8.095238095238095,21,21,21,32,0,4.285714285714286,0.0,0.14285714285714285
0,0,0.0,0.0,11,0.25,4.5,12,12,12,19,0,4.166666666666667,0.0,0.25
0,0,0.0,0.0,4,0.2,1.6800000000000002,5,5,5,7,0,3.4,0.0,0.2
1,0,0.9999990000010001,0.06666666222222252,14,0.26666666666666666,5.706666666666667,15,15,15,22,0,3.8,0.0,0.2
1,0,0.9999990000010001,0.04999999750000012,19,0.2,7.68,20,20,20,30,0,4.4,0.0,0.2
1,0,0.9999990000010001,0.05882352595155729,16,0.23529411764705882,6.4941176470588236,17,17,17,29,0,4.9411764705882355,0.0,0.17647058823529413
3,0,0.9999996666667778,0.14285713605442207,20,0.23809523809523808,8.095238095238095,21,21,21,31,0,4.190476190476191,0.0,0.14285714285714285
1,0,0.9999990000010001,0.05882352595155729,16,0.17647058823529413,6.470588235294118,17,17,17,26,0,3.823529411764706,0.0,0.11764705882352941
1,0,0.9999990000010001,0.055555552469135974,17,0.1111111111111111,6.844444444444445,18,18,18,25,0,4.277777777777778,0.0,0.05555555555555555
1,0,0.9999990000010001,0.09999999000000101,9,0.2,3.6799999999999997,10,10,10,15,0,4.2,0.0,0.1
2,0,0.99999950000025,0.14285713265306196,13,0.07142857142857142,5.228571428571429,14,14,14,17,0,3.7857142857142856,0.0,0.0
0,0,0.0,0.0,7,0.125,2.85,8,8,8,10,0,5.125,0.0,0.125
3,0,0.9999996666667778,0.1666666574074079,17,0.16666666666666666,6.866666666666667,18,18,18,28,0,4.5,0.0,0.1111111111111111
2,0,0.99999950000025,0.07692307396449716,24,0.2692307692307692,9.707692307692309,26,26,26,39,0,4.115384615384615,0.0,0.15384615384615385
0,0,0.0,0.0,21,0.22727272727272727,8.49090909090909,22,22,22,34,0,4.363636363636363,0.0,0.13636363636363635
3,0,0.9999996666667778,0.15789472853185638,18,0.21052631578947367,7.284210526315789,19,19,19,36,0,4.842105263157895,0.0,0.21052631578947367
3,0,0.9999996666667778,0.2499999791666684,11,0.16666666666666666,4.466666666666667,12,12,12,18,0,3.8333333333333335,0.0,0.08333333333333333
0,0,0.0,0.0,25,0.15384615384615385,10.061538461538461,26,26,26,39,0,4.269230769230769,0.0,0.11538461538461539
1,0,0.9999990000010001,0.04761904535147403,20,0.09523809523809523,8.038095238095238,21,21,21,31,0,4.714285714285714,0.0,0.09523809523809523
4,0,0.9999997500000625,0.44444439506173394,8,0.1111111111111111,3.2444444444444445,9,9,9,14,0,4.555555555555555,0.0,0.1111111111111111
4,0,0.9999997500000625,0.18181817355371938,21,0.13636363636363635,8.454545454545455,22,22,22,33,1,4.590909090909091,0.045454545454545456,0.13636363636363635
0,0,0.0,0.0,10,0.36363636363636365,4.1454545454545455,11,11,11,21,0,5.0,0.0,0.36363636363636365
0,0,0.0,0.0,21,0.22727272727272727,8.49090909090909,22,22,22,29,0,4.318181818181818,0.0,0.09090909090909091
1,0,0.9999990000010001,0.037037035665294975,26,0.2222222222222222,10.488888888888889,27,27,27,41,0,4.2592592592592595,0.0,0.14814814814814814
0,0,0.0,0.0,21,0.13636363636363635,8.454545454545455,22,22,22,24,1,3.8636363636363638,0.045454545454545456,0.045454545454545456
1,1,0.0,0.0,23,0.20833333333333334,9.283333333333333,24,24,24,39,0,4.625,0.0,0.125
1,1,0.0,0.0,36,0.1891891891891892,14.475675675675674,37,37,37,58,0,4.5675675675675675,0.0,0.10810810810810811
1,1,0.0,0.0,15,0.125,6.050000000000001,16,16,16,24,0,4.25,0.0,0.0625
0,0,0.0,0.0,14,0.3333333333333333,5.733333333333334,15,15,15,28,0,5.4,0.0,0.2
0,0,0.0,0.0,12,0.38461538461538464,4.953846153846154,13,13,13,21,0,5.384615384615385,0.0,0.07692307692307693
0,0,0.0,0.0,24,0.08,9.632,25,25,25,31,1,3.72,0.04,0.04
2,3,-0.199999960000008,-0.037037035665294975,26,0.25925925925925924,10.503703703703705,27,27,27,40,0,4.555555555555555,0.0,0.18518518518518517
0,0,0.0,0.0,11,0.16666666666666666,4.466666666666667,12,12,12,18,0,4.416666666666667,0.0,0.16666666666666666
0,0,0.0,0.0,15,0.125,6.050000000000001,16,16,16,16,1,3.5625,0.0625,0.0625
0,0,0.0,0.0,13,0.2857142857142857,5.314285714285715,14,14,14,28,0,5.5,0.0,0.21428571428571427
1,0,0.9999990000010001,0.035714284438775556,27,0.21428571428571427,10.885714285714286,28,28,28,45,0,5.071428571428571,0.0,0.17857142857142858
0,0,0.0,0.0,8,0.3333333333333333,3.333333333333334,9,9,9,14,0,4.888888888888889,0.0,0.2222222222222222
1,0,0.9999990000010001,0.09999999000000101,9,0.1,3.64,10,10,10,11,1,4.1,0.1,0.1
3,0,0.9999996666667778,0.14999999250000037,19,0.05,7.620000000000001,20,20,20,25,0,4.05,0.0,0.0
4,0,0.9999997500000625,0.12903225390218534,30,0.22580645161290322,12.090322580645163,31,31,31,52,0,4.354838709677419,0.0,0.12903225806451613
1,0,0.9999990000010001,0.09999999000000101,9,0.1,3.64,10,10,10,10,1,3.3,0.1,0.1
4,0,0.9999997500000625,0.12121211753902675,32,0.18181818181818182,12.872727272727273,33,33,33,48,0,4.0,0.0,0.09090909090909091
0,0,0.0,0.0,16,0.058823529411764705,6.423529411764706,17,17,17,19,1,4.0588235294117645,0.058823529411764705,0.058823529411764705
0,0,0.0,0.0,9,0.3,3.7200000000000006,10,10,10,18,0,5.1,0.0,0.3
1,0,0.9999990000010001,0.05882352595155729,16,0.29411764705882354,6.517647058823529,17,17,17,24,0,4.352941176470588,0.0,0.11764705882352941
2,0,0.99999950000025,0.11111110493827195,17,0.2222222222222222,6.888888888888889,18,18,18,22,1,4.055555555555555,0.05555555555555555,0.1111111111111111
3,0,0.9999996666667778,0.11538461094674572,25,0.3076923076923077,10.123076923076923,26,26,26,45,0,4.846153846153846,0.0,0.19230769230769232
1,0,0.9999990000010001,0.06249999609375024,15,0.1875,6.075,16,16,16,19,0,4.125,0.0,0.125
0,0,0.0,0.0,11,0.25,4.5,12,12,12,20,0,4.333333333333333,0.0,0.16666666666666666
1,0,0.9999990000010001,0.04999999750000012,17,0.2,6.88,20,20,20,29,0,4.3,0.0,0.05
0,0,0.0,0.0,15,0.1875,6.075,16,16,16,20,0,4.0625,0.0,0.125
0,0,0.0,0.0,8,0.2222222222222222,3.2888888888888888,9,9,9,15,0,4.666666666666667,0.0,0.2222222222222222
0,0,0.0,0.0,19,0.1,7.640000000000001,20,20,20,25,0,3.8,0.0,0.0
0,0,0.0,0.0,9,0.3,3.7200000000000006,10,10,10,15,0,4.4,0.0,0.2
3,0,0.9999996666667778,0.4285713673469475,6,0.2857142857142857,2.5142857142857142,7,7,7,10,0,4.428571428571429,0.0,0.14285714285714285
1,0,0.9999990000010001,0.11111109876543349,8,0.1111111111111111,3.2444444444444445,9,9,9,9,0,3.7777777777777777,0.0,0.0
0,0,0.0,0.0,9,0.2,3.6799999999999997,10,10,10,16,0,4.6,0.0,0.1
0,0,0.0,0.0,8,0.2222222222222222,3.2888888888888888,9,9,9,15,0,4.666666666666667,0.0,0.2222222222222222
2,0,0.99999950000025,0.1818181652892577,10,0.2727272727272727,4.109090909090909,11,11,11,13,0,4.2727272727272725,0.0,0.0
